level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	3	1	5	8	3745	941	62	54	89	to
5	1	3	1	5	9	3880	933	96	61	90	nie
5	1	3	1	5	10	4030	932	181	84	88	bieży,
5	1	3	1	5	11	4266	933	104	84	88	jak
4	1	3	1	6	0	2386	1017	1987	87	-1	
5	1	3	1	6	1	2386	1019	270	64	88	Albertus
5	1	3	1	6	2	2702	1044	30	39	93	z
5	1	3	1	6	3	2777	1022	234	82	83	wojny?
5	1	3	1	6	4	3056	1021	159	62	82	Bźrk.
5	1	3	1	6	5	3259	1020	106	62	79	Ex.
5	1	3	1	6	6	3413	1017	101	64	91	28.
5	1	3	1	6	7	3577	1020	94	83	87	(cf.
5	1	3	1	6	8	3716	1019	246	83	89	Matyasz
5	1	3	1	6	9	4029	1042	28	39	93	z
5	1	3	1	6	10	4124	1020	249	75	84	Podola;
4	1	3	1	7	0	2389	1106	1337	88	-1	
5	1	3	1	7	1	2389	1106	254	63	71	żołnierz
5	1	3	1	7	2	2688	1107	428	84	84	bożogrobski,
5	1	3	1	7	3	3162	1106	301	88	66	papjezki;
5	1	3	1	7	4	3504	1107	222	83	85	junak.)
2	1	4	0	0	0	294	1191	4076	265	-1	
3	1	4	1	0	0	294	1191	4076	265	-1	
4	1	4	1	1	0	294	1191	3449	91	-1	
5	1	4	1	1	1	294	1201	87	61	75	Kl.
5	1	4	1	1	2	428	1200	133	78	82	Kop.
5	1	4	1	1	3	610	1197	55	76	98	2,
5	1	4	1	1	4	715	1197	96	75	87	79,
5	1	4	1	1	5	858	1201	86	63	80	der
5	1	4	1	1	6	987	1198	283	84	85	Alabaster;
5	1	4	1	1	7	1325	1199	153	61	78	Vźnd.
5	1	4	1	1	8	1526	1199	351	72	88	alabashter;
5	1	4	1	1	9	1922	1196	139	62	87	Boh.
5	1	4	1	1	10	2131	1196	125	60	88	ala—
5	1	4	1	1	11	2299	1191	229	78	87	ALBO,
5	1	4	1	1	12	2573	1193	433	76	86	ALBOWIEM,
5	1	4	1	1	13	3051	1192	242	65	87	ALBOZ
5	1	4	1	1	14	3339	1216	49	39	89	v.
5	1	4	1	1	15	3435	1191	149	66	91	ABO
5	1	4	1	1	16	3634	1202	109	55	92	etc.
4	1	4	1	2	0	295	1280	2780	89	-1	
5	1	4	1	2	1	295	1288	188	72	86	bastr;
5	1	4	1	2	2	530	1285	123	64	83	Sor.
5	1	4	1	2	3	703	1286	54	59	93	1.
5	1	4	1	2	4	804	1285	336	75	87	halabaster;
5	1	4	1	2	5	1187	1285	158	63	82	Ross.
5	1	4	1	2	6	1390	1288	347	81	61	aaaóacrpz.
5	1	4	1	2	7	1785	1282	57	63	93	2.
5	1	4	1	2	8	1870	1284	192	79	76	ellipt.-
5	1	4	1	2	9	2089	1303	166	62	91	przez
5	1	4	1	2	10	2300	1280	338	64	87	ALCBANT
5	1	4	1	2	11	2682	1303	53	41	90	v.
5	1	4	1	2	12	2781	1280	294	63	89	Alszbant.
4	1	4	1	3	0	296	1366	4074	90	-1	
5	1	4	1	3	1	296	1374	337	82	65	wyrzutnią:
5	1	4	1	3	2	663	1371	376	84	88	alabastrowy
5	1	4	1	3	3	1100	1373	152	62	71	słoik
5	1	4	1	3	4	1306	1392	73	41	92	na
5	1	4	1	3	5	1427	1372	298	63	89	chowanie
5	1	4	1	3	6	1773	1370	243	84	81	drogich
5	1	4	1	3	7	2059	1369	196	63	90	maści.
5	1	4	1	3	8	2300	1366	372	78	85	ALCHIMIA,
5	1	4	1	3	9	2735	1370	54	61	86	ii.
5	1	4	1	3	10	2836	1370	38	61	84	f.
5	1	4	1	3	11	2922	1370	50	80	94	(z
5	1	4	1	3	12	3018	1368	238	63	85	Arabsk.
5	1	4	1	3	13	3320	1369	267	82	69	artykułu
5	1	4	1	3	14	3648	1369	86	74	84	al,
5	1	4	1	3	15	3810	1369	19	60	91	i
5	1	4	1	3	16	3873	1388	227	62	89	wyrazu
5	1	4	1	3	17	4161	1371	209	61	53	old-imst-
2	1	5	0	0	0	209	1456	2056	3041	-1	
3	1	5	1	0	0	293	1456	1966	1041	-1	
4	1	5	1	1	0	296	1456	1961	85	-1	
5	1	5	1	1	1	296	1462	177	79	74	Mącz.
5	1	5	1	1	2	522	1461	81	63	82	ein
5	1	5	1	1	3	647	1459	537	81	75	Alabastetbüchslein.
5	1	5	1	1	4	1229	1458	167	61	68	Miala
5	1	5	1	1	5	1443	1457	245	65	88	alabastr
5	1	5	1	1	6	1734	1457	196	83	84	olejku
5	1	5	1	1	7	1991	1457	17	60	94	i
5	1	5	1	1	8	2053	1456	204	82	70	wylała
4	1	5	1	2	0	297	1542	1959	87	-1	
5	1	5	1	2	1	297	1568	73	41	91	na
5	1	5	1	2	2	416	1547	190	81	75	głowę
5	1	5	1	2	3	645	1545	157	83	83	jego.
5	1	5	1	2	4	858	1546	86	62	90	W.
5	1	5	1	2	5	991	1546	136	62	85	Mat.
5	1	5	1	2	6	1174	1543	101	76	92	26,
5	1	5	1	2	7	1324	1543	55	63	88	7.
5	1	5	1	2	8	1428	1544	311	85	90	(szklenicę
5	1	5	1	2	9	1797	1543	212	63	89	wódki.
5	1	5	1	2	10	2053	1542	203	79	80	Budny
4	1	5	1	3	0	295	1628	1960	86	-1	
5	1	5	1	3	1	295	1635	93	79	76	ib.)
5	1	5	1	3	2	435	1631	292	83	68	Stłukłszy
5	1	5	1	3	3	771	1634	268	71	89	alabastr,
5	1	5	1	3	4	1101	1632	200	82	69	wylała
5	1	5	1	3	5	1348	1631	206	82	90	olejek.
5	1	5	1	3	6	1636	1633	99	63	75	W.
5	1	5	1	3	7	1795	1631	175	62	85	Marc.
5	1	5	1	3	8	2040	1628	102	74	70	14,
5	1	5	1	3	9	2197	1628	58	63	87	5.
4	1	5	1	4	0	296	1716	1958	86	-1	
5	1	5	1	4	1	296	1718	349	83	82	przebiwszy
5	1	5	1	4	2	710	1720	260	61	84	alabastr.
5	1	5	1	4	3	1029	1718	181	62	71	Buda.
5	1	5	1	4	4	1257	1719	72	60	71	ib.
5	1	5	1	4	5	1392	1720	212	82	59	(Stojek
5	1	5	1	4	6	1666	1719	393	80	90	alabastrowy,
5	1	5	1	4	7	2107	1716	147	62	75	Bibl.
4	1	5	1	5	0	297	1804	1959	82	-1	
5	1	5	1	5	1	297	1805	96	62	87	Gd.
5	1	5	1	5	2	441	1807	109	79	72	ib).
5	1	5	1	5	3	599	1804	56	62	91	5.
5	1	5	1	5	4	701	1808	118	78	75	Fig.
5	1	5	1	5	5	866	1807	223	60	70	białość
5	1	5	1	5	6	1133	1805	397	75	88	alabastrowa,
5	1	5	1	5	7	1588	1805	331	74	87	śnieżność,
5	1	5	1	5	8	1981	1805	275	65	88	blendende
4	1	5	1	6	0	293	1890	1962	88	-1	
5	1	5	1	6	1	293	1893	191	78	70	Weiße.
5	1	5	1	6	2	534	1891	203	63	90	Gdzież
5	1	5	1	6	3	785	1898	91	57	91	ów
5	1	5	1	6	4	915	1893	243	61	89	alabastr
5	1	5	1	6	5	1203	1893	204	62	74	czoła?
5	1	5	1	6	6	1454	1895	165	81	89	gdzie
5	1	5	1	6	7	1659	1894	181	84	88	jagód
5	1	5	1	6	8	1885	1891	189	77	62	róże?
5	1	5	1	6	9	2108	1890	147	63	85	Mon.
4	1	5	1	7	0	297	1977	1959	78	-1	
5	1	5	1	7	1	297	1977	98	76	87	70,
5	1	5	1	7	2	443	1977	142	63	88	585.
5	1	5	1	7	3	630	1978	595	77	84	ALABASTBOWY,
5	1	5	1	7	4	1270	2001	47	53	91	a,
5	1	5	1	7	5	1367	2001	84	41	67	e.:
5	1	5	1	7	6	1496	2004	29	37	90	z
5	1	5	1	7	7	1555	1982	311	72	85	alabastru,
5	1	5	1	7	8	1911	1979	98	62	91	lub
5	1	5	1	7	9	2058	1978	198	62	90	alaba-
4	1	5	1	8	0	294	2066	1962	86	-1	
5	1	5	1	8	1	294	2076	122	53	89	stru
5	1	5	1	8	2	462	2068	84	81	89	się
5	1	5	1	8	3	592	2077	245	73	76	tyczący,
5	1	5	1	8	4	883	2068	297	80	80	Alabaster-
5	1	5	1	8	5	1202	2117	13	22	94	,
5	1	5	1	8	6	1254	2085	102	47	79	von
5	1	5	1	8	7	1401	2069	298	83	75	Alabaster;
5	1	5	1	8	8	1745	2068	141	63	88	Boh.
5	1	5	1	8	9	1933	2066	323	63	88	alabastro-
4	1	5	1	9	0	297	2153	1959	84	-1	
5	1	5	1	9	1	297	2176	117	60	73	wy,
5	1	5	1	9	2	486	2153	158	63	83	Ross.
5	1	5	1	9	3	690	2155	470	82	70	aaaóacrpoeuił.
5	1	5	1	9	4	1234	2154	200	83	76	Slojek
5	1	5	1	9	5	1500	2156	391	81	89	alabastrowy.
5	1	5	1	9	6	1960	2153	56	63	91	1.
5	1	5	1	9	7	2090	2154	166	77	86	Leap.
4	1	5	1	10	0	297	2237	1961	85	-1	
5	1	5	1	10	1	297	2241	141	62	82	Mar.
5	1	5	1	10	2	490	2240	107	74	73	14,
5	1	5	1	10	3	645	2240	57	62	87	5.
5	1	5	1	10	4	749	2241	388	63	89	Alabastrowa
5	1	5	1	10	5	1207	2242	311	62	89	banieczka
5	1	5	1	10	6	1593	2241	54	63	92	1.
5	1	5	1	10	7	1707	2243	167	79	82	Leap.
5	1	5	1	10	8	1947	2240	143	61	83	Mar.
5	1	5	1	10	9	2157	2237	101	76	93	26,
4	1	5	1	11	0	297	2325	1962	85	-1	
5	1	5	1	11	1	297	2327	55	75	89	7,
5	1	5	1	11	2	425	2325	58	64	93	2.
5	1	5	1	11	3	530	2328	116	81	78	Fig.
5	1	5	1	11	4	691	2328	169	82	74	biały,
5	1	5	1	11	5	905	2328	252	82	84	śnieżny,
5	1	5	1	11	6	1203	2329	247	64	85	blendend
5	1	5	1	11	7	1498	2330	148	77	57	ivett.
5	1	5	1	11	8	1675	2327	237	63	70	Gładka
5	1	5	1	11	9	1947	2327	152	82	83	szyja
5	1	5	1	11	10	2132	2327	127	61	91	ala-
4	1	5	1	12	0	294	2413	1965	84	-1	
5	1	5	1	12	1	294	2415	300	61	89	bastrowa.
5	1	5	1	12	2	639	2416	193	78	79	Przyb.
5	1	5	1	12	3	906	2416	132	60	79	Luz.
5	1	5	1	12	4	1112	2413	102	63	74	45.
5	1	5	1	12	5	1275	2415	168	80	85	(Eccl.
5	1	5	1	12	6	1490	2416	596	81	60	aaaóacrpoenaablii,
5	1	5	1	12	7	2133	2414	126	61	88	ala-
3	1	5	2	0	0	238	2498	2021	347	-1	
4	1	5	2	1	0	238	2498	2021	85	-1	
5	1	5	2	1	1	238	2501	553	82	11	__,bastroksztaltny,
5	1	5	2	1	2	838	2522	74	41	91	na
5	1	5	2	1	3	957	2501	185	63	66	kszait
5	1	5	2	1	4	1186	2501	316	75	85	alabastru,
5	1	5	2	1	5	1544	2500	91	64	95	Gr.
5	1	5	2	1	6	1669	2498	590	84	46	oilań'owzgoezdńgr
4	1	5	2	2	0	292	2584	1966	86	-1	
